"ENTRADA /
RADICADO,ASUNTO,ÁREA RESPONSABLE"
1530001-2026-710,SOLICITUD COMPLEMENTACIÓN DE INFORMACIÓN – MEMORANDO INTERNO 2510001-2026-007,CORREDORES AMBIENTALES
"E-2026-057878,""DERECHO DE PETICIÓN – SOLICITUD DE IMPULSO ADMINISTRATIVO, VIGILANCIA PREVENTIVA Y DEFINICIÓN DEL"
"PROCESO DE LIQUIDACIÓN DEL CONTRATO NO. 1-01-25100-1220-2022"",CORREDORES AMBIENTALES"
"E-2026-058152,""20264200177161-RESPUESTA AL RADICADO EAAB 2510001-S-2026-140868 – IDRD 20262100237952."
"“EXPEDIENTE SDA-08-2025-1034, AUTO NO. 07380 DEL 15 DE OCTUBRE DE 2025.”"",CORREDORES AMBIENTALES"
E-2026-040142,700-566 EAAB RADICACIÓN INF FINAL SST INTER ,CORREDORES AMBIENTALES
E-2026-025962,RADICADO SDA. NO. 2022ER159394,CORREDORES AMBIENTALES
E-2026-028468,REF: SOLICITUD DILIGENCIAMIENTO HISTÓRICO DE CONSTRUCCIÓN DE CICLORRUTAS EN BOGOTÁ - EAAB,CORREDORES AMBIENTALES
E-2026-040141,700-565 EAAB RADICACIÓN INF FINAL TECNICO Y AMBIENTAL INTER ,CORREDORES AMBIENTALES
E-2026-040139,700-564 EAAB RADICACIÓN INFORME FINAL COMPONENTE SOCIAL,CORREDORES AMBIENTALES
E-2026-040137,700-563 EAAB RADICACIÓN INF MENSUALES TECNICOS INTER NO. 9 AL 14,CORREDORES AMBIENTALES
"2420001-2025-1137,""Reiteración oficio 2420001-2025-0631 de solicitud de Información para dar"
"respuesta a requerimientos cierre de PIN-GEN 18446"",CORREDORES AMBIENTALES"
